cohort_month,months_since_first_order,active_customers,cohort_size,retention_pct
2024-01,0,3,3,100.0
2024-01,4,3,3,100.0
2024-01,5,1,3,33.3
2024-01,9,1,3,33.3
2024-01,11,1,3,33.3
2024-01,12,1,3,33.3
2024-01,15,1,3,33.3
2024-01,22,1,3,33.3
2024-02,0,9,9,100.0
2024-02,3,2,9,22.2
2024-02,4,1,9,11.1
2024-02,5,2,9,22.2
2024-02,6,1,9,11.1
2024-02,7,2,9,22.2
2024-02,8,1,9,11.1
2024-02,11,3,9,33.3
2024-02,12,2,9,22.2
2024-02,13,2,9,22.2
2024-02,14,3,9,33.3
2024-02,16,2,9,22.2
2024-02,17,2,9,22.2
2024-02,19,1,9,11.1
2024-02,20,3,9,33.3
2024-02,21,3,9,33.3
2024-02,22,1,9,11.1
2024-03,0,29,29,100.0
2024-03,1,6,29,20.7
2024-03,2,2,29,6.9
2024-03,3,4,29,13.8
2024-03,4,4,29,13.8
2024-03,5,5,29,17.2
2024-03,6,5,29,17.2
2024-03,7,4,29,13.8
2024-03,8,3,29,10.3
2024-03,9,5,29,17.2
2024-03,10,4,29,13.8
2024-03,11,6,29,20.7
2024-03,12,4,29,13.8
2024-03,13,1,29,3.4
2024-03,14,5,29,17.2
2024-03,15,5,29,17.2
2024-03,16,2,29,6.9
2024-03,17,3,29,10.3
2024-03,18,1,29,3.4
2024-03,19,2,29,6.9
2024-03,20,3,29,10.3
2024-03,21,3,29,10.3
2024-04,0,44,44,100.0
2024-04,1,10,44,22.7
2024-04,2,7,44,15.9
2024-04,3,6,44,13.6
2024-04,4,6,44,13.6
2024-04,5,8,44,18.2
2024-04,6,4,44,9.1
2024-04,7,9,44,20.5
2024-04,8,8,44,18.2
2024-04,9,7,44,15.9
2024-04,10,6,44,13.6
2024-04,11,6,44,13.6
2024-04,12,5,44,11.4
2024-04,13,5,44,11.4
2024-04,14,7,44,15.9
2024-04,15,6,44,13.6
2024-04,16,7,44,15.9
2024-04,17,6,44,13.6
2024-04,18,7,44,15.9
2024-04,19,6,44,13.6
2024-04,20,8,44,18.2
2024-05,0,45,45,100.0
2024-05,1,8,45,17.8
2024-05,2,5,45,11.1
2024-05,3,5,45,11.1
2024-05,4,9,45,20.0
2024-05,5,4,45,8.9
2024-05,6,7,45,15.6
2024-05,7,6,45,13.3
2024-05,8,5,45,11.1
2024-05,9,4,45,8.9
2024-05,10,6,45,13.3
2024-05,11,5,45,11.1
2024-05,12,8,45,17.8
2024-05,13,8,45,17.8
2024-05,14,5,45,11.1
2024-05,15,7,45,15.6
2024-05,16,8,45,17.8
2024-05,17,6,45,13.3
2024-05,18,5,45,11.1
2024-05,19,9,45,20.0
2024-06,0,62,62,100.0
2024-06,1,8,62,12.9
2024-06,2,9,62,14.5
2024-06,3,7,62,11.3
2024-06,4,11,62,17.7
2024-06,5,4,62,6.5
2024-06,6,8,62,12.9
2024-06,7,10,62,16.1
2024-06,8,5,62,8.1
2024-06,9,14,62,22.6
2024-06,10,10,62,16.1
2024-06,11,14,62,22.6
2024-06,12,10,62,16.1
2024-06,13,7,62,11.3
2024-06,14,8,62,12.9
2024-06,15,6,62,9.7
2024-06,16,11,62,17.7
2024-06,17,9,62,14.5
2024-06,18,8,62,12.9
2024-07,0,73,73,100.0
2024-07,1,7,73,9.6
2024-07,2,14,73,19.2
2024-07,3,7,73,9.6
2024-07,4,8,73,11.0
2024-07,5,7,73,9.6
2024-07,6,6,73,8.2
2024-07,7,7,73,9.6
2024-07,8,8,73,11.0
2024-07,9,17,73,23.3
2024-07,10,11,73,15.1
2024-07,11,15,73,20.5
2024-07,12,9,73,12.3
2024-07,13,8,73,11.0
2024-07,14,11,73,15.1
2024-07,15,6,73,8.2
2024-07,16,8,73,11.0
2024-07,17,15,73,20.5
2024-08,0,72,72,100.0
2024-08,1,14,72,19.4
2024-08,2,5,72,6.9
2024-08,3,7,72,9.7
2024-08,4,10,72,13.9
2024-08,5,8,72,11.1
2024-08,6,7,72,9.7
2024-08,7,11,72,15.3
2024-08,8,9,72,12.5
2024-08,9,16,72,22.2
2024-08,10,7,72,9.7
2024-08,11,8,72,11.1
2024-08,12,12,72,16.7
2024-08,13,11,72,15.3
2024-08,14,9,72,12.5
2024-08,15,5,72,6.9
2024-08,16,11,72,15.3
2024-09,0,78,78,100.0
2024-09,1,7,78,9.0
2024-09,2,13,78,16.7
2024-09,3,10,78,12.8
2024-09,4,9,78,11.5
2024-09,5,9,78,11.5
2024-09,6,12,78,15.4
2024-09,7,16,78,20.5
2024-09,8,5,78,6.4
2024-09,9,7,78,9.0
2024-09,10,11,78,14.1
2024-09,11,16,78,20.5
2024-09,12,8,78,10.3
2024-09,13,11,78,14.1
2024-09,14,11,78,14.1
2024-09,15,11,78,14.1
2024-10,0,92,92,100.0
2024-10,1,19,92,20.7
2024-10,2,15,92,16.3
2024-10,3,14,92,15.2
2024-10,4,9,92,9.8
2024-10,5,15,92,16.3
2024-10,6,9,92,9.8
2024-10,7,15,92,16.3
2024-10,8,9,92,9.8
2024-10,9,9,92,9.8
2024-10,10,19,92,20.7
2024-10,11,12,92,13.0
2024-10,12,14,92,15.2
2024-10,13,15,92,16.3
2024-10,14,9,92,9.8
2024-11,0,105,105,100.0
2024-11,1,18,105,17.1
2024-11,2,15,105,14.3
2024-11,3,17,105,16.2
2024-11,4,12,105,11.4
2024-11,5,18,105,17.1
2024-11,6,14,105,13.3
2024-11,7,10,105,9.5
2024-11,8,11,105,10.5
2024-11,9,20,105,19.0
2024-11,10,14,105,13.3
2024-11,11,11,105,10.5
2024-11,12,14,105,13.3
2024-11,13,13,105,12.4
2024-12,0,122,122,100.0
2024-12,1,22,122,18.0
2024-12,2,11,122,9.0
2024-12,3,19,122,15.6
2024-12,4,14,122,11.5
2024-12,5,20,122,16.4
2024-12,6,21,122,17.2
2024-12,7,15,122,12.3
2024-12,8,12,122,9.8
2024-12,9,18,122,14.8
2024-12,10,22,122,18.0
2024-12,11,10,122,8.2
2024-12,12,18,122,14.8
2025-01,0,103,103,100.0
2025-01,1,13,103,12.6
2025-01,2,21,103,20.4
2025-01,3,15,103,14.6
2025-01,4,12,103,11.7
2025-01,5,20,103,19.4
2025-01,6,20,103,19.4
2025-01,7,18,103,17.5
2025-01,8,16,103,15.5
2025-01,9,18,103,17.5
2025-01,10,23,103,22.3
2025-01,11,18,103,17.5
2025-02,0,129,129,100.0
2025-02,1,25,129,19.4
2025-02,2,22,129,17.1
2025-02,3,18,129,14.0
2025-02,4,25,129,19.4
2025-02,5,15,129,11.6
2025-02,6,25,129,19.4
2025-02,7,21,129,16.3
2025-02,8,18,129,14.0
2025-02,9,18,129,14.0
2025-02,10,26,129,20.2
2025-03,0,121,121,100.0
2025-03,1,28,121,23.1
2025-03,2,24,121,19.8
2025-03,3,20,121,16.5
2025-03,4,20,121,16.5
2025-03,5,20,121,16.5
2025-03,6,23,121,19.0
2025-03,7,19,121,15.7
2025-03,8,21,121,17.4
2025-03,9,30,121,24.8
2025-04,0,158,158,100.0
2025-04,1,27,158,17.1
2025-04,2,33,158,20.9
2025-04,3,32,158,20.3
2025-04,4,28,158,17.7
2025-04,5,26,158,16.5
2025-04,6,32,158,20.3
2025-04,7,26,158,16.5
2025-04,8,21,158,13.3
2025-05,0,163,163,100.0
2025-05,1,39,163,23.9
2025-05,2,31,163,19.0
2025-05,3,38,163,23.3
