customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
2149,15,5,324.73,5,5,5,15,Champions
624,15,6,293.17,5,5,5,15,Champions
2719,15,6,431.34,5,5,5,15,Champions
1523,15,7,387.23,5,5,5,15,Champions
2136,15,7,432.07,5,5,5,15,Champions
2454,15,7,564.61,5,5,5,15,Champions
1703,15,8,596.67,5,5,5,15,Champions
770,15,8,647.59,5,5,5,15,Champions
595,14,4,386.4,5,5,5,15,Champions
1295,14,6,358.4,5,5,5,15,Champions
922,14,6,360.63,5,5,5,15,Champions
681,14,7,309.4,5,5,5,15,Champions
1582,14,7,380.07,5,5,5,15,Champions
1128,14,10,611.05,5,5,5,15,Champions
907,13,5,280.39,5,5,5,15,Champions
986,13,5,321.04,5,5,5,15,Champions
898,13,5,340.31,5,5,5,15,Champions
1043,13,5,352.6,5,5,5,15,Champions
2016,13,6,308.21,5,5,5,15,Champions
1882,13,6,656.58,5,5,5,15,Champions
395,13,7,389.6,5,5,5,15,Champions
955,13,7,398.41,5,5,5,15,Champions
1969,13,7,548.83,5,5,5,15,Champions
2919,13,8,506.3,5,5,5,15,Champions
2325,13,8,572.79,5,5,5,15,Champions
655,13,9,530.33,5,5,5,15,Champions
2930,12,5,291.6,5,5,5,15,Champions
1045,12,5,327.58,5,5,5,15,Champions
687,12,5,353.02,5,5,5,15,Champions
1158,12,5,369.78,5,5,5,15,Champions
2354,12,7,409.57,5,5,5,15,Champions
1529,12,7,479.66,5,5,5,15,Champions
384,12,8,364.03,5,5,5,15,Champions
2732,12,9,544.68,5,5,5,15,Champions
247,11,5,286.16,5,5,5,15,Champions
2691,11,5,406.78,5,5,5,15,Champions
416,11,5,453.87,5,5,5,15,Champions
167,11,5,500.87,5,5,5,15,Champions
527,11,6,293.61,5,5,5,15,Champions
2909,11,7,365.65,5,5,5,15,Champions
1208,11,7,381.53,5,5,5,15,Champions
2129,11,7,464.16,5,5,5,15,Champions
784,11,7,527.23,5,5,5,15,Champions
1138,11,8,558.43,5,5,5,15,Champions
1498,11,9,513.34,5,5,5,15,Champions
1574,11,9,574.28,5,5,5,15,Champions
2825,11,9,751.78,5,5,5,15,Champions
1938,10,5,371.32,5,5,5,15,Champions
1589,10,7,370.11,5,5,5,15,Champions
715,10,8,376.29,5,5,5,15,Champions
2685,10,9,582.96,5,5,5,15,Champions
2873,10,9,631.86,5,5,5,15,Champions
2130,10,10,540.75,5,5,5,15,Champions
143,9,5,318.79,5,5,5,15,Champions
405,9,6,287.15,5,5,5,15,Champions
1204,9,7,325.54,5,5,5,15,Champions
2306,9,8,407.53,5,5,5,15,Champions
2981,9,8,549.67,5,5,5,15,Champions
456,9,9,439.64,5,5,5,15,Champions
584,9,9,648.67,5,5,5,15,Champions
759,8,6,339.82,5,5,5,15,Champions
858,8,8,350.35,5,5,5,15,Champions
1193,8,9,429.51,5,5,5,15,Champions
273,8,9,618.77,5,5,5,15,Champions
837,7,4,417.52,5,5,5,15,Champions
916,7,4,447.55,5,5,5,15,Champions
453,7,5,301.13,5,5,5,15,Champions
2165,7,5,303.4,5,5,5,15,Champions
2661,7,5,355.53,5,5,5,15,Champions
495,7,5,370.01,5,5,5,15,Champions
2384,7,5,412.39,5,5,5,15,Champions
1485,7,6,291.47,5,5,5,15,Champions
565,7,6,477.31,5,5,5,15,Champions
282,7,6,497.29,5,5,5,15,Champions
349,7,8,396.0,5,5,5,15,Champions
2890,7,8,616.98,5,5,5,15,Champions
950,6,5,285.57,5,5,5,15,Champions
1924,6,5,290.7,5,5,5,15,Champions
1917,6,5,374.76,5,5,5,15,Champions
1600,6,5,502.09,5,5,5,15,Champions
1511,6,5,535.58,5,5,5,15,Champions
2656,6,6,399.14,5,5,5,15,Champions
2904,6,6,423.15,5,5,5,15,Champions
2430,6,6,432.33,5,5,5,15,Champions
570,6,7,501.91,5,5,5,15,Champions
2163,6,7,657.88,5,5,5,15,Champions
1005,6,8,477.39,5,5,5,15,Champions
2620,6,10,588.48,5,5,5,15,Champions
2133,5,4,403.23,5,5,5,15,Champions
281,5,6,440.38,5,5,5,15,Champions
1968,5,6,534.99,5,5,5,15,Champions
1637,5,7,728.07,5,5,5,15,Champions
2622,5,8,467.88,5,5,5,15,Champions
1223,5,8,500.01,5,5,5,15,Champions
2372,5,8,544.35,5,5,5,15,Champions
2385,5,8,585.7,5,5,5,15,Champions
2662,5,8,604.38,5,5,5,15,Champions
1652,5,9,503.29,5,5,5,15,Champions
37,5,9,604.04,5,5,5,15,Champions
2340,5,10,609.65,5,5,5,15,Champions
393,4,4,368.3,5,5,5,15,Champions
2058,4,4,440.06,5,5,5,15,Champions
2264,4,6,371.04,5,5,5,15,Champions
1314,4,6,409.9,5,5,5,15,Champions
1768,4,7,359.91,5,5,5,15,Champions
2436,4,7,394.64,5,5,5,15,Champions
1351,4,7,532.34,5,5,5,15,Champions
525,4,8,392.56,5,5,5,15,Champions
1838,4,9,498.11,5,5,5,15,Champions
627,4,9,534.36,5,5,5,15,Champions
616,3,4,396.27,5,5,5,15,Champions
1606,3,4,449.01,5,5,5,15,Champions
1056,3,5,306.48,5,5,5,15,Champions
2344,3,5,309.98,5,5,5,15,Champions
1919,3,5,332.84,5,5,5,15,Champions
1225,3,5,397.13,5,5,5,15,Champions
122,3,6,310.71,5,5,5,15,Champions
1448,3,6,494.57,5,5,5,15,Champions
1161,3,7,350.38,5,5,5,15,Champions
361,3,7,379.94,5,5,5,15,Champions
2591,3,7,426.11,5,5,5,15,Champions
2582,3,7,525.0,5,5,5,15,Champions
2045,3,8,333.47,5,5,5,15,Champions
1285,3,8,652.4,5,5,5,15,Champions
1758,3,8,763.59,5,5,5,15,Champions
2197,3,9,553.05,5,5,5,15,Champions
1842,3,9,662.29,5,5,5,15,Champions
566,2,5,288.95,5,5,5,15,Champions
2348,2,5,311.42,5,5,5,15,Champions
2500,2,5,483.9,5,5,5,15,Champions
1553,2,6,334.1,5,5,5,15,Champions
90,2,6,583.86,5,5,5,15,Champions
739,2,7,367.08,5,5,5,15,Champions
1911,2,7,373.2,5,5,5,15,Champions
2337,2,7,410.04,5,5,5,15,Champions
2259,2,7,413.36,5,5,5,15,Champions
2998,2,7,522.17,5,5,5,15,Champions
2518,2,7,535.09,5,5,5,15,Champions
1602,2,7,539.19,5,5,5,15,Champions
700,2,8,361.28,5,5,5,15,Champions
661,2,8,443.17,5,5,5,15,Champions
2007,2,8,592.29,5,5,5,15,Champions
2992,2,8,598.16,5,5,5,15,Champions
2010,2,8,631.06,5,5,5,15,Champions
